n,Run,Target,Input List,Brute Force Sum,Greedy Sum,Quality Gap,Quality Ratio,Percent Gap,Greedy Optimal,Greedy Valid,Brute Force Time,Greedy Time
5,1,171,"[73, 38, 81, 55, 95]",168,168,0,1.0,0.0,True,True,1.7264999769395217e-05,4.147999788983725e-06
5,2,109,"[82, 33, 5, 1, 98]",104,104,0,1.0,0.0,True,True,1.0768999345600605e-05,1.4449997252086177e-06
5,3,152,"[21, 99, 96, 52, 37]",151,151,0,1.0,0.0,True,True,9.637000403017737e-06,1.0859985195565969e-06
5,4,137,"[43, 36, 43, 78, 75]",122,121,1,0.9918032786885246,0.819672131147541,False,True,8.65299989527557e-06,8.800016075838357e-07
5,5,73,"[28, 25, 8, 28, 58]",66,66,0,1.0,0.0,True,True,7.888998879934661e-06,9.949999366654083e-07
5,6,192,"[22, 97, 88, 83, 94]",191,191,0,1.0,0.0,True,True,8.320999768329784e-06,1.1110005289083347e-06
5,7,159,"[17, 45, 75, 100, 82]",157,145,12,0.9235668789808917,7.643312101910828,False,True,8.92999923962634e-06,9.300001693191007e-07
5,8,114,"[2, 75, 21, 93, 38]",114,114,0,1.0,0.0,True,True,4.141998942941427e-06,8.499991963617504e-07
5,9,165,"[70, 41, 92, 31, 96]",164,137,27,0.8353658536585366,16.463414634146343,False,True,8.146998879965395e-06,8.739989425521344e-07
5,10,105,"[40, 2, 58, 28, 83]",100,85,15,0.85,15.0,False,True,8.150000212481245e-06,7.959988579386845e-07
5,11,145,"[87, 26, 85, 70, 22]",135,135,0,1.0,0.0,True,True,8.04399860498961e-06,8.620008884463459e-07
5,12,110,"[9, 83, 12, 45, 71]",104,104,0,1.0,0.0,True,True,7.513001037295908e-06,7.889993867138401e-07
5,13,139,"[34, 66, 57, 73, 49]",139,139,0,1.0,0.0,True,True,3.418999767745845e-06,8.330007403856143e-07
5,14,115,"[21, 31, 49, 91, 38]",112,112,0,1.0,0.0,True,True,7.3190003604395315e-06,8.490005711792037e-07
5,15,88,"[48, 61, 1, 55, 12]",74,74,0,1.0,0.0,True,True,7.538001227658242e-06,8.520000847056508e-07
5,16,163,"[76, 81, 83, 19, 68]",163,159,4,0.9754601226993865,2.4539877300613497,False,True,5.38099993718788e-06,9.079994924832135e-07
5,17,127,"[88, 77, 46, 30, 13]",123,118,5,0.959349593495935,4.0650406504065035,False,True,7.2639995778445154e-06,9.34000127017498e-07
5,18,117,"[16, 90, 25, 38, 65]",115,115,0,1.0,0.0,True,True,7.1780013968236744e-06,7.450016710208729e-07
5,19,126,"[26, 72, 3, 59, 93]",122,122,0,1.0,0.0,True,True,7.487000402761623e-06,8.719998731976375e-07
5,20,186,"[58, 76, 67, 73, 99]",175,175,0,1.0,0.0,True,True,2.6821999199455604e-05,7.60001057642512e-07
5,21,181,"[75, 79, 66, 43, 99]",178,178,0,1.0,0.0,True,True,7.4599993240553886e-06,8.059996616793796e-07
5,22,123,"[72, 28, 95, 45, 6]",123,123,0,1.0,0.0,True,True,3.05499997921288e-06,7.2900002123788e-07
5,23,182,"[91, 98, 63, 47, 66]",176,164,12,0.9318181818181818,6.8181818181818175,False,True,7.575999916298315e-06,7.990001904545352e-07
5,24,91,"[62, 49, 55, 9, 7]",78,78,0,1.0,0.0,True,True,1.172199881693814e-05,1.5309997252188623e-06
5,25,77,"[46, 11, 59, 31, 8]",77,70,7,0.9090909090909091,9.090909090909092,False,True,2.7340011001797393e-06,7.779999577905983e-07
5,26,180,"[94, 78, 24, 99, 66]",177,177,0,1.0,0.0,True,True,7.591001121909358e-06,8.690003596711904e-07
5,27,86,"[18, 42, 38, 8, 67]",85,85,0,1.0,0.0,True,True,7.401000402751379e-06,8.260012691607699e-07
5,28,58,"[10, 48, 27, 10, 21]",58,58,0,1.0,0.0,True,True,2.1609994291793555e-06,7.060007192194462e-07
5,29,120,"[23, 61, 61, 38, 58]",119,119,0,1.0,0.0,True,True,7.339000148931518e-06,7.40999894333072e-07
5,30,128,"[35, 76, 65, 30, 51]",127,127,0,1.0,0.0,True,True,7.156000719987787e-06,7.640010153409094e-07
6,1,163,"[43, 95, 71, 93, 23, 2]",163,163,0,1.0,0.0,True,True,1.1390999134164304e-05,1.0969997674692422e-06
6,2,184,"[99, 23, 16, 67, 84, 79]",183,183,0,1.0,0.0,True,True,1.5645000530639663e-05,1.1140000424347818e-06
6,3,147,"[37, 37, 84, 76, 35, 25]",146,146,0,1.0,0.0,True,True,1.459700069972314e-05,9.199993655784056e-07
6,4,181,"[65, 96, 34, 61, 63, 43]",173,161,12,0.930635838150289,6.9364161849710975,False,True,1.5147999874898233e-05,1.0139992809854448e-06
6,5,155,"[26, 39, 55, 96, 63, 32]",154,151,3,0.9805194805194806,1.948051948051948,False,True,1.444000008632429e-05,9.880004654405639e-07
6,6,83,"[6, 1, 49, 20, 5, 86]",81,81,0,1.0,0.0,True,True,1.4581999494112097e-05,1.2569998943945393e-06
6,7,167,"[47, 37, 75, 43, 53, 80]",165,155,10,0.9393939393939394,6.0606060606060606,False,True,1.456400059396401e-05,8.939987310441211e-07
6,8,139,"[29, 63, 45, 36, 81, 24]",137,126,11,0.9197080291970803,8.02919708029197,False,True,1.3873001080355607e-05,9.280010999646038e-07
6,9,199,"[73, 71, 26, 95, 39, 94]",194,189,5,0.9742268041237113,2.5773195876288657,False,True,1.4437000572797842e-05,1.1070005712099373e-06
6,10,108,"[43, 84, 27, 25, 12, 25]",107,96,11,0.897196261682243,10.2803738317757,False,True,1.3924998711445369e-05,8.820006769383326e-07
6,11,146,"[35, 29, 50, 56, 78, 44]",142,134,8,0.9436619718309859,5.633802816901409,False,True,1.401499866915401e-05,9.619998309062794e-07
6,12,185,"[100, 71, 77, 32, 86, 5]",185,182,3,0.9837837837837838,1.6216216216216217,False,True,1.1828000424429774e-05,9.229988791048527e-07
6,13,175,"[86, 73, 23, 69, 48, 52]",173,159,14,0.9190751445086706,8.092485549132949,False,True,1.3685001249541529e-05,8.719998731976375e-07
6,14,194,"[72, 1, 71, 84, 77, 83]",168,168,0,1.0,0.0,True,True,1.3950000720797107e-05,8.999995770864189e-07
6,15,130,"[71, 19, 27, 10, 67, 67]",127,127,0,1.0,0.0,True,True,1.3824001143802889e-05,9.81999619398266e-07
6,16,224,"[75, 22, 93, 81, 94, 84]",209,209,0,1.0,0.0,True,True,1.471900031901896e-05,1.0380008461652324e-06
6,17,199,"[58, 82, 44, 74, 96, 45]",199,178,21,0.8944723618090452,10.552763819095476,False,True,7.495998943340965e-06,9.289997251471505e-07
6,18,124,"[37, 50, 60, 25, 33, 43]",122,110,12,0.9016393442622951,9.836065573770492,False,True,1.3873001080355607e-05,8.700008038431406e-07
6,19,177,"[2, 69, 47, 100, 68, 69]",171,171,0,1.0,0.0,True,True,1.389299904985819e-05,9.279992809752002e-07
6,20,115,"[24, 94, 22, 68, 20, 3]",115,114,1,0.991304347826087,0.8695652173913043,False,True,1.081300069927238e-05,9.430004865862429e-07
6,21,133,"[71, 68, 37, 48, 39, 3]",127,122,5,0.9606299212598425,3.937007874015748,False,True,1.351999890175648e-05,1.0130006558028981e-06
6,22,162,"[55, 51, 66, 15, 61, 76]",157,157,0,1.0,0.0,True,True,1.4026998542249203e-05,9.110008249990642e-07
6,23,110,"[49, 38, 11, 19, 11, 93]",109,104,5,0.9541284403669725,4.587155963302752,False,True,1.3930999557487667e-05,1.1370011634426191e-06
6,24,75,"[27, 20, 19, 57, 20, 7]",74,64,10,0.8648648648648649,13.513513513513514,False,True,0.00025036799888766836,1.947999408002943e-06
6,25,140,"[53, 3, 77, 17, 55, 76]",135,135,0,1.0,0.0,True,True,1.5299001461244188e-05,1.1880001693498343e-06
6,26,96,"[44, 3, 30, 12, 99, 4]",93,93,0,1.0,0.0,True,True,1.4613999155699275e-05,1.2029995559714735e-06
6,27,198,"[66, 81, 71, 75, 4, 100]",185,185,0,1.0,0.0,True,True,1.4552999346051365e-05,1.0399999155197293e-06
6,28,135,"[93, 23, 33, 26, 57, 39]",132,132,0,1.0,0.0,True,True,1.389399949403014e-05,9.480008884565905e-07
6,29,106,"[10, 10, 79, 9, 91, 13]",104,104,0,1.0,0.0,True,True,1.3449000107357278e-05,8.600000001024455e-07
6,30,120,"[12, 45, 64, 41, 74, 5]",120,119,1,0.9916666666666667,0.8333333333333334,False,True,9.16600038181059e-06,8.999995770864189e-07
7,1,229,"[16, 91, 42, 85, 48, 89, 88]",228,228,0,1.0,0.0,True,True,2.881700129364617e-05,1.4039997040526941e-06
7,2,201,"[72, 67, 4, 10, 88, 75, 86]",188,188,0,1.0,0.0,True,True,2.7577001674217172e-05,1.0849998943740502e-06
7,3,176,"[85, 16, 89, 64, 12, 36, 50]",175,174,1,0.9942857142857143,0.5714285714285714,False,True,2.638400110299699e-05,9.349987522000447e-07
7,4,120,"[20, 77, 15, 31, 25, 28, 45]",120,108,12,0.9,10.0,False,True,9.919998774421401e-06,8.499991963617504e-07
7,5,163,"[53, 68, 36, 67, 8, 1, 93]",162,162,0,1.0,0.0,True,True,2.6838000849238597e-05,9.240011422662064e-07
7,6,125,"[46, 4, 51, 1, 18, 65, 66]",122,122,0,1.0,0.0,True,True,2.618100006657187e-05,1.0020012268796563e-06
7,7,195,"[78, 69, 48, 34, 69, 81, 11]",195,193,2,0.9897435897435898,1.0256410256410255,False,True,6.5450003603473306e-06,9.640007192501798e-07
7,8,227,"[97, 35, 93, 38, 66, 37, 88]",227,227,0,1.0,0.0,True,True,7.765000191284344e-06,1.1190004443051293e-06
7,9,249,"[41, 56, 89, 51, 99, 89, 73]",247,244,3,0.9878542510121457,1.214574898785425,False,True,2.760900133580435e-05,1.2070013326592743e-06
7,10,155,"[13, 77, 42, 57, 41, 10, 70]",153,147,6,0.9607843137254902,3.9215686274509802,False,True,2.577499981271103e-05,9.350005711894482e-07
7,11,175,"[46, 84, 28, 76, 24, 25, 67]",175,160,15,0.9142857142857143,8.571428571428571,False,True,1.032699947245419e-05,9.119994501816109e-07
7,12,229,"[60, 32, 77, 98, 78, 91, 23]",229,221,8,0.9650655021834061,3.4934497816593884,False,True,9.416999091627076e-06,1.1949996405746788e-06
7,13,86,"[5, 49, 74, 13, 26, 2, 4]",86,85,1,0.9883720930232558,1.1627906976744187,False,True,2.2230000467970967e-05,1.1250012903474271e-06
7,14,133,"[8, 8, 26, 34, 83, 38, 70]",133,129,4,0.9699248120300752,3.007518796992481,False,True,1.4285998986451887e-05,9.83998688752763e-07
7,15,190,"[32, 95, 24, 79, 34, 41, 76]",189,174,15,0.9206349206349206,7.936507936507936,False,True,2.6918000003206544e-05,8.41000655782409e-07
7,16,151,"[15, 16, 18, 64, 58, 91, 41]",150,149,1,0.9933333333333333,0.6666666666666667,False,True,2.639199919940438e-05,1.0210005711996928e-06
7,17,236,"[88, 61, 21, 82, 85, 60, 75]",234,234,0,1.0,0.0,True,True,3.255199953855481e-05,9.960003808373585e-07
7,18,173,"[44, 82, 19, 77, 23, 20, 82]",169,164,5,0.9704142011834319,2.9585798816568047,False,True,2.6617999537847936e-05,8.490005711792037e-07
7,19,165,"[15, 33, 81, 79, 44, 66, 12]",162,160,2,0.9876543209876543,1.2345679012345678,False,True,5.335099922376685e-05,1.6369995137210935e-06
7,20,113,"[9, 4, 22, 52, 9, 54, 76]",111,111,0,1.0,0.0,True,True,2.6707999495556578e-05,1.1449992598500103e-06
7,21,197,"[57, 46, 79, 16, 91, 66, 39]",196,186,10,0.9489795918367347,5.1020408163265305,False,True,2.6801999410963617e-05,1.082000380847603e-06
7,22,140,"[8, 36, 77, 81, 8, 10, 60]",139,135,4,0.9712230215827338,2.877697841726619,False,True,2.8055001166649163e-05,1.0830008250195533e-06
7,23,154,"[37, 67, 49, 73, 1, 63, 18]",154,141,13,0.9155844155844156,8.441558441558442,False,True,1.2782998965121806e-05,9.940013114828616e-07
7,24,171,"[70, 49, 19, 96, 14, 89, 5]",171,171,0,1.0,0.0,True,True,1.1592999726417474e-05,1.4119996194494888e-06
7,25,156,"[79, 18, 20, 100, 12, 14, 70]",152,152,0,1.0,0.0,True,True,2.622800093377009e-05,1.0730000212788582e-06
7,26,237,"[90, 85, 43, 44, 81, 87, 45]",222,222,0,1.0,0.0,True,True,2.7660998966894113e-05,1.229000190505758e-06
7,27,147,"[51, 72, 67, 4, 53, 30, 18]",147,143,4,0.9727891156462585,2.7210884353741496,False,True,1.8276999981026165e-05,8.999995770864189e-07
7,28,190,"[95, 55, 22, 44, 25, 90, 49]",189,185,4,0.9788359788359788,2.1164021164021163,False,True,2.6227999114780687e-05,8.98000507731922e-07
7,29,167,"[37, 52, 68, 74, 3, 24, 76]",166,153,13,0.9216867469879518,7.83132530120482,False,True,2.743900040513836e-05,9.949999366654083e-07
7,30,131,"[31, 41, 5, 92, 5, 29, 59]",131,128,3,0.9770992366412213,2.2900763358778624,False,True,7.107999408617616e-06,8.930001058615744e-07
