n,Runs,Mean_Quality_Ratio,Minimum_Quality_Ratio,Mean_Quality_Gap,Mean_Percent_Gap,Greedy_Optimal_Count,Greedy_Valid_Count,Greedy Optimal Rate
5,30,0.9792151606144122,0.8353658536585366,2.7666666666666666,2.0784839385587826,22,30,0.7333333333333333
6,30,0.9682302400081986,0.8648648648648649,4.4,3.1769759991801414,14,30,0.4666666666666667
7,30,0.9742850291181342,0.9,4.2,2.5714970881865793,10,30,0.3333333333333333
8,30,0.9765795063725929,0.9333333333333333,4.666666666666667,2.3420493627407075,7,30,0.23333333333333334
9,30,0.9743316005504544,0.8896321070234113,6.4,2.5668399449545607,9,30,0.3
10,30,0.9833752161084474,0.9327217125382263,4.366666666666666,1.6624783891552681,7,30,0.23333333333333334
11,30,0.9808097504965707,0.9052924791086351,5.733333333333333,1.9190249503429326,6,30,0.2
12,30,0.9897418017885795,0.948509485094851,3.4,1.0258198211420404,8,30,0.26666666666666666
13,30,0.9895193220494504,0.957983193277311,3.566666666666667,1.0480677950549597,4,30,0.13333333333333333
14,30,0.9927972784123956,0.9686609686609686,2.533333333333333,0.7202721587604358,9,30,0.3
15,30,0.9926040924618708,0.9715447154471545,2.9,0.739590753812926,7,30,0.23333333333333334
16,30,0.995337026523116,0.9822616407982262,1.9,0.46629734768839987,12,30,0.4
17,30,0.9943254210270687,0.9745762711864406,2.7,0.5674578972931358,8,30,0.26666666666666666
18,30,0.9968836104613973,0.9834368530020704,1.5,0.31163895386027635,17,30,0.5666666666666667
